source_db_path,target_db_path,output_path,comparison_number,status,match_count,error_message,duration_seconds,peak_memory_mb,early_escape_detected
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/413_الشيخ_المفيد_الأمالي_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_413_الشيخ_المفيد_الأمالي_copy1.jsonl,55,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/413_الشيخ_المفيد_الاختصاص_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_413_الشيخ_المفيد_الاختصاص_copy1.jsonl,56,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/436_السيد_المرتضى_الذريعة_(أصول_فقه)_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_436_السيد_المرتضى_الذريعة_(أصول_فقه)_copy1.jsonl,57,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/460_الشيخ_الطوسي_الاستبصار_copy1.db,./output/matches_460_الشيخ_الطوسي_الاستبصار_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,58,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/460_الشيخ_الطوسي_التبيان_copy1.db,./output/matches_460_الشيخ_الطوسي_التبيان_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,59,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/460_الشيخ_الطوسي_تهذيب_الأحكام_copy1.db,./output/matches_460_الشيخ_الطوسي_تهذيب_الأحكام_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,60,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/460_الشيخ_الطوسي_عدة_الأصول_(ط.ق)_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_460_الشيخ_الطوسي_عدة_الأصول_(ط.ق)_copy1.jsonl,61,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 1_تحقيق_محمد_باقر_كتاب_سليم_بن_قيس_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 1_تحقيق_محمد_باقر_كتاب_سليم_بن_قيس_copy1.jsonl,62,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 2-3_رواية_كبار_المحدثين_تاريخ_أهل_البيت_(ع)_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 2-3_رواية_كبار_المحدثين_تاريخ_أهل_البيت_(ع)_copy1.jsonl,63,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 2_ابن_الإمام_جعفر_مسائل_علي_بن_جعفر_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 2_ابن_الإمام_جعفر_مسائل_علي_بن_جعفر_copy1.jsonl,64,pending,,,,,
